,model,prompt,size(B),language,prediction,prompt_formality,id,formality,annotator,annotation_id,created_at,updated_at,lead_time
10,BLOOM,"Ellos quieren que haga música pendeja, De esa que ningún mensaje bueno deja, Esa que",7.1,es," nadie canta y todos le temen... Es difícil, es muy difícil, Porque me he visto con las manos en el fuego por gente que no me ha querido, Que no me ha tratado bien y no me ha dado nada a cambio y en una ocasión me fallaron. A veces es muy difícil saber lo que queremos, No importa que tan difícil sea, Seguirá siendo un camino de ida. Mi nombre es Javier, Javier González...
 nadie canta y todos le temen... Es difícil, es muy difícil, Porque me he visto con las manos en el fuego por gente que no me ha querido, Que no me ha tratado bien y no me ha dado",Informal,3921,Formal,14,3544,2022-11-24T23:04:57.378318Z,2022-11-24T23:04:59.700195Z,2.028
11,BLOOM,"Una vez que todo este material básico ya esté cubierto, entonces se cubrirá el material",7.1,es," complementario, con la finalidad de que puedas encontrar el adecuado para tu trabajo. Dentro de este apartado, encontrarás todo lo referente a las fuentes bibliográficas, las cuales te ayudarán a reforzar tu trabajo con información confiable y original. También te enseñaremos cómo elaborar una introducción, un desarrollo y una conclusión, los componentes clave de cualquier trabajo de investigación.
En este módulo, te enseñaremos cómo elaborar una introducción, un desarrollo y una conclusión, los componentes clave de cualquier trabajo de investigación
Al concluir este módulo, habrás adquirido las habilidades y conocimientos necesarios para realizar un trabajo de investigación en el área de tu interés.
Dentro de este módulo, te ayudaremos a tener una idea clara de las técnicas de investigación más comunes, así como",Formal,4143,Formal,14,3543,2022-11-24T23:04:30.107518Z,2022-11-24T23:04:34.776281Z,2.198
12,XGLM,"Te dije te amo y no lo sientes infeliz, a la mierda el corazón, esta",7.5,es," afuera del cuerpo. No te quiero, porque no te necesito, no te necesito yo. Tengo que irme ya, tengo que irme, tengo que irme hoy.",Informal,3758,Informal,14,3542,2022-11-24T23:03:10.774692Z,2022-11-24T23:03:10.774707Z,5.141
13,XGLM,"Ei tío, nada es tan fácil como crees, no... Te vienen cosas de un lado",2.9,es," y de otro. Ya sabes que me gustas mucho. Y de todas formas te conozco bien. Sé que no eres un tío muy bueno (como dices), pero sí que eres un tío divertido.",Informal,3677,Informal,14,3541,2022-11-24T23:03:03.018049Z,2022-11-24T23:03:03.018076Z,3.41
14,XGLM,"Tú que siempre intentas parecer superior, tú que hablas veneno desde el televisor. Tú y",7.5,es,tus verdades absolutas que no me pertenecen porque son tuyas. Tú que te crees el amo del mundo y te haces el rey de la alcoba. Tu que cuando te equivocas te escondes tras el orgullo. Tú y tus frases hechas que dices sin pensar. Tú que en la mitad de los besos ya sabes si me gustas o no.,Informal,3800,Informal,14,3540,2022-11-24T23:02:42.277292Z,2022-11-24T23:02:42.277306Z,10.238
15,BLOOM,Para un,3.0,es,"Para un principiante, el mejor robot de cocina de cocina de la lista es el Thermomix TM6 de Vorwerk. El robot de cocina de cocina de la lista es una excelente opción para todos, incluso si es principiante, y es uno de los robots de cocina que puede cocinar con facilidad la mayor parte de los alimentos.
Esta es una de las mejores opciones en el mercado de los robots de cocina para cocina de cocina de cocina de cocina de cocina de cocina de cocina de cocina de cocina de cocina de cocina de cocina de cocina de cocina de cocina de cocina de cocina de cocina de cocina de cocina de cocina de cocina de cocina de cocina de cocina de cocina de cocina de cocina de cocina de cocina de cocina de cocina de cocina de cocina",Neutral,4485,Formal,14,3539,2022-11-24T23:02:31.243691Z,2022-11-24T23:02:31.243713Z,9.524
16,XGLM,"Sabes que lo pasamos bien, Escúchame, ya sé que sigues junto a él, Quedaron marcas",7.5,es,", recuerdos y tristezas, Y en el silencio y el olvido, Lo que se perdió, lo que se quedó, Lo que me has dado en el camino, Lo que me dejas en el olvido",Informal,3789,Informal,14,3538,2022-11-24T23:02:20.784884Z,2022-11-24T23:02:20.784923Z,9.066
17,XGLM,"Tú no necesitas ningun novio, buscate un psicologo no voy a ser yo, estoy cansao",7.5,es," de escucharte... Te lo digo como ex novia. La mujer se enamora por el corazón, no por los oídos. Y el corazón no necesita novio. Además el amor no es para siempre. Y no te hagas problemas para encontrar a tu pareja, el problema es que no quieras.",Informal,3733,Informal,14,3537,2022-11-24T23:02:11.027687Z,2022-11-24T23:02:11.027711Z,1.51
18,XGLM,"Como la agüita del aljibe, Me fluye to' con la rutina, como la luz azul,",2.9,es," Me devora con el aire del día, como el sol, Me inundé con el agua de la lluvia, Como el barro en el horno, Me sequé con el sol del día, Como un río de aguas negras, Me cansé del agua de la lluvia",Informal,3610,Informal,14,3536,2022-11-24T23:02:08.818158Z,2022-11-24T23:02:08.818175Z,19.902
19,BLOOM,"He deja'o a medias casi to' lo prometido, Me' calla'o como una ... He mentido,",3.0,es,"He deja'o a medias casi to' lo prometido, Me' calla'o como una... He mentido, he sido engañado...
A veces es tan duro que sólo puedo seguir adelante.
Es por eso que estoy aquí.
Es por eso que lo sigo.
Es por eso que estoy aquí.
Es por eso que me quedo.
No me preguntes por qué.
No me preguntes por qué.
No me preguntes por qué.
No me preguntes por qué.
No me preguntes por qué.
No me preguntes por qué.
No te quedes.
No te quedes, no me preguntes por qué.
No te quedes.
No te quedes, no me preguntes por qué.
No te quedes, no me preguntes por qué.
No te quedes, no me preguntes por qué.
No te quedes, no me preguntes por qué.
No te quedes,",Informal,3805,Informal,14,3535,2022-11-24T23:01:48.275739Z,2022-11-24T23:01:48.275754Z,1.467
20,XGLM,"¡Violencia! Nadie en su juicio te quiere, pero, ¡Violencia! Puedo toparme contigo porque, ¡Violencia! Tú",7.5,es," no me miras, pero, ¡Violencia! Yo te miro y no puedo evitar enamorarme. ¿Qué? ¿No lo ves? Yo te miro y no puedo evitar cogerte, ¡Violencia!",Informal,3704,Informal,14,3534,2022-11-24T23:01:46.159295Z,2022-11-24T23:01:46.159310Z,2.602
21,XGLM,"Porque tú eres como el Sol, Yo la Luna, tú la brisa, yo el reflejo,",7.5,es," tú.... Yo, tú me necesitas, y te necesito.... Queremos estar juntos, para siempre, aunque sea sólo unos minutos, y no tendremos que irnos a vivir a otro lugar, pues aquí...en esta habitación sólo tendremos que darnos la mano y decirnos, ""te quiero""",Informal,3720,Informal,14,3533,2022-11-24T23:01:42.718938Z,2022-11-24T23:01:42.718953Z,12.068
22,BLOOM,"Esa mami me tiene loco, Ya casi no cojo playa contando lunares, Ahora vente donde",3.0,es," yo te quiera ver, Y no me molestes con tu mami, que se va a volver loco, Que se va a volver loca, Que se va a volver loco, Que se va a volver loco, Que se va a volver loco, Que se va a volver loco, Que se va a volver loco, Que se va a volver loco.
Yo solo, con la música del mar, A veces pienso que me gusta, A veces pienso que me odio, Si mañana me tengo que ir, Será para siempre, No quiero que me olviden, que se vaya, Que se vaya
Cuando a uno se le acaba la risa, Cuando los sueños se van para siempre, Y no se puede volver atrás, Cuando nos olvidamos de los",Informal,3811,Informal,14,3532,2022-11-24T23:01:29.616708Z,2022-11-24T23:01:29.616723Z,3.035
23,XGLM,"¡Yo! soy el último, hombre furioso en la ciudad, soy el último hijo de puta",7.5,es,", ¡soy el último!, ¡el último!, ¡el último!, ¡el último!, ¡el último!, ¡el último!, ¡el último!, ¡el último!, ¡el último!, ¡el último!, ¡el último!, ¡el último!, ¡el último!, ¡el último!, ¡el último!, ¡el último!, ¡el último!, ¡el último!, ¡el último!, ¡el último!, ¡el último!, ¡el último!, ¡el último!, ¡el último!, ¡el último!, ¡el último!, ¡el último!, ¡el último!, ¡el último!, ¡el último",Informal,3796,Incohesive,14,3531,2022-11-24T23:01:25.556141Z,2022-11-24T23:01:25.556156Z,1.916
24,XGLM,"Hablar de frees y de lo que me salga del rabo, estáis hablando de mí",2.9,es," y me reconozco en el nombre. Lo que si he visto y me ha gustado es el modo de narrar de éste. Un juego que ha contado con grandes escenarios y escenarios que han sido muy bien trabajados. La ambientación en general es de lo mejor que he visto en el juego, quizás por ser de una ciudad tan grande como París.",Informal,3684,Formal,14,3530,2022-11-24T23:01:22.915693Z,2022-11-24T23:01:22.915713Z,6.336
25,BLOOM,"Como la agüita del aljibe, Me fluye to' con la rutina, como la luz azul,",3.0,es," me fluye to', aunque to' lo que me rodea no me llame, con las manitas de mi mamá, me fluye to'.
Con la rutina y el trabajo, Me fluye to', un poco de hambre, un poco de cansancio, una gota que sale del seno, Me fluye to', aunque tengo que aguantarme, hasta que no sea mi turno, Me fluye to'.
Me fluye to' por todas partes y por muchos lugares, Me fluye to' en el aire, en la tierra, en las montañas, Me fluye to' en los cuerpos de todos los que me buscan, Me fluye to', porque yo también soy de la naturaleza, de la vida",Informal,3810,Informal,14,3529,2022-11-24T23:01:15.950554Z,2022-11-24T23:01:15.950569Z,1.339
26,XGLM,Yeyeye ha vuelto el barriobajero con el corazón de acero que roba el whisky de,7.5,es," las manos de los hombres y le da a los pobres. El que en su pasado era el más poderoso de los que viven en la calle. O si no, el que más y mejor sabe reírse de sí mismo.",Informal,3735,Formal,14,3528,2022-11-24T23:01:13.761516Z,2022-11-24T23:01:13.761530Z,6.135
27,XGLM,"Siempre has estado cerca cuando te he necesitado, Si me he caído al suelo, tú",2.9,es," has estado ahí para curarme. Gracias por ser parte de mi vida, gracias por cuidarme y protegerme. Gracias por darme un hogar, por hacerme sentir como en casa, gracias por amarme como jamás lo has hecho. Te quiero tanto que no puedo dejarte, no puedo salir de este lugar sin tenerte cerca.",Informal,3618,Informal,14,3527,2022-11-24T23:01:06.702572Z,2022-11-24T23:01:06.702587Z,4.041
28,XGLM,"Vamos, sal a la calle y lucha, ya no tienes más escusas, vamos, sal a",7.5,es,la calle y lucha. Que hay un cambio global que no lo vamos a permitir. Hay que decirlo alto y claro. Esta es la hora de la acción.,Informal,3771,Formal,14,3526,2022-11-24T23:01:01.775206Z,2022-11-24T23:01:01.775244Z,7.097
29,XGLM,"Málaga city está al cien por cien, hijos de puta no lo quieren ver, tú",2.9,es," has visto la cara de la gente, son como locos y se hacen los locos, la gente se pone furiosa, te dicen que te vayas a la *******.",Informal,3681,Informal,14,3525,2022-11-24T23:00:53.464371Z,2022-11-24T23:00:53.464409Z,5.834
30,XGLM,"Yeah, no queria despedir este disco pero me ha entrado un poquitín de hambre así",7.5,es,que no lo puedo evitar. Que paséis buen finde. Dejo aquí la lista de cançons i lletres de cadascun dels discos del grup de la meva vida.,Informal,3793,Informal,14,3524,2022-11-24T23:00:46.827288Z,2022-11-24T23:00:46.827304Z,42.931
31,XGLM,Cada vez que pienso en tó lo que has hecho pa sacar tres tíos y,2.9,es," una niña de tu casa, tengo la sensación de que me vas a matar"". Al menos le dijo ella. Aún así, las palabras de la mujer no hicieron más que provocar un nuevo ataque de pánico en el hijo de la víctima. ""Deje de hablarme de su familia y deje de llamarme de vez en cuando para preguntarme el motivo de mi ausencia. No necesito que me llame desde allí, pero me gustaría que me llamara si algo le sucede a mi hermano o a algún otro amigo"". Este es el relato del padre del pequeño, quien está convencido de que el niño, un chico de 16 años, está siendo víctima de un atentado.",Informal,3682,Formal,14,3523,2022-11-24T23:00:03.288394Z,2022-11-24T23:00:03.288410Z,16.713
32,XGLM,"Díselo brother, no fuimos al cole, Vengo del parque donde el Sol nunca se pone,",7.5,es," y a mis pies, y a mi alrededor, no hay sombras. Aún así, aquí estoy. Dejé el mundo en los brazos de alguien.",Informal,3717,Formal,14,3522,2022-11-24T22:59:45.870055Z,2022-11-24T22:59:45.870069Z,6.3
33,XGLM,"Vivir sin mirar el reloj, L'a costa'o encontrar el valor, Trátame suave, quiéreme leve, házmelo",2.9,es," más suave, Te sigo buscando, y una canción que es un canto de amor a la ciudad de la que me he ido. También una canción a Santiago de Compostela porque es la ciudad que más me gusta de España, un lugar en el que he vivido muchas cosas y he tenido amigos.",Informal,3608,Informal,14,3521,2022-11-24T22:59:38.494066Z,2022-11-24T22:59:38.494089Z,18.747
34,XGLM,"Dile que tú eres mía, mía, Tú sabes que eres mía, mía, Tú misma lo",2.9,es,sabes. Que tú eres mía. Sé que eres mi alma que me guía cuando no sé que hacer. De tu abrazo he aprendido a respirar. Es mi manera de decirte adiós.,Informal,3690,Informal,14,3520,2022-11-24T22:59:19.065394Z,2022-11-24T22:59:19.065416Z,1.418
35,XGLM,¿Te imaginas un cielo para ver cada mañana? ¿y tu silueta recortada en el quicio,2.9,es," del cristal? No lo podrás hacer cuando tengas ojos de cristal; el cielo no siempre es azul, ni el cielo siempre es azul. No es posible que estés mirando el cielo cuando haya nubes. Conozco una mujer que era capaz de llegar al cielo sólo con el pensamiento. Estaba acostumbrada a ver el cielo cada mañana cuando se levantaba y la luz del sol ya permanecía a la vista.",Informal,3624,Informal,14,3519,2022-11-24T22:59:16.469379Z,2022-11-24T22:59:16.469395Z,12.568
36,XGLM,Por que la,2.9,es,"Por que la izquierda pierde peso en Europa? Una lectura de los resultados de las elecciones europeas en España, Austria y Francia. El escenario que se abre en Europa para Podemos. Por José Antonio Pastor.",Neutral,4656,Formal,14,3518,2022-11-24T22:59:03.304944Z,2022-11-24T22:59:03.304957Z,6.682
37,XGLM,"Tú decides, tú decides que es mejor, ver pasar los días por tus ojos o",7.5,es," mirar hacia atrás y descubrir lo que no puedes cambiar. Tú decides, tú decides que es mejor recordar aquellos momentos que nos hiciste sonreír o que nos hicieron llorar, que nos hicieron sentir vivos o muertos.",Informal,3739,Informal,14,3517,2022-11-24T22:58:55.837254Z,2022-11-24T22:58:55.837269Z,4.252
38,XGLM,#NAME?,2.9,es," es correcto, ¿verdad? - le dije, alzando un poco la voz. - No sabe cómo me gusta ser su amiga... - seguí hablando, y lo único que hizo fue dejarse caer hacia mí, mirándome con ojos marrones. - Pero, ¿y si tuvieras un amigo que te hiciese daño? ¿Y si el otro fuera un traidor? - pregunté algo preocupada, y ella siguió sentándose al lado mío.",Informal,3650,Informal,14,3516,2022-11-24T22:58:50.616610Z,2022-11-24T22:58:50.616625Z,2.976
39,XGLM,No te creas nada de lo que dicen. Bajo manga mueven su motivación. Si ves,7.5,es," a alguien en la playa y te parece que tiene un cuerpo realmente bueno, no le des más vueltas. Es una excusa para estar en la playa.",Informal,3743,Informal,14,3515,2022-11-24T22:58:46.402042Z,2022-11-24T22:58:46.402062Z,5.83
40,XGLM,"Yo tengo fe, tú tienes fe? te diré lo que sé nada que hacer sin",7.5,es,ustedes. Estoy muy contento por tener el honor de estar con ustedes este día especial. Que Dios nos bendiga y nos ayude a seguir adelante..,Informal,3776,Formal,14,3514,2022-11-24T22:58:39.857009Z,2022-11-24T22:58:39.857024Z,4.173
41,XGLM,"Díselo brother, no fuimos al cole, Vengo del parque donde el Sol nunca se pone,",2.9,es," con la luna que se enciende, con el Viento y la lluvia que se detienen, y con las rosas que te llegan acariciando, porque nosotros fuimos al cole y el sol nunca se fue.",Informal,3617,Informal,14,3513,2022-11-24T22:58:34.370268Z,2022-11-24T22:58:34.370289Z,14.47
42,XGLM,#NAME?,2.9,es," +A mí, ¿te gusta? +Sí, yo lo veo siempre que puedo. +Entonces, ¿por qué no vas a ver una película? +A ver si encuentro un sitio donde pueda ir hoy. +¿Es la primera vez que has ido a ver una película con tus padres? +Bueno, sí. +¿Cómo te llaman tus padres? +Adri, tío.",Informal,3638,Informal,14,3512,2022-11-24T22:58:19.301087Z,2022-11-24T22:58:19.301109Z,1.5
43,XGLM,"Bueno, a ver… Se trata de que cuentes tu movida, ¿vale? Aquí no… no tenemos",2.9,es,"Bueno, a ver... Se trata de que cuentes tu movida, ¿vale? Aquí no... no tenemos una cosa así como el ""me gustaría compartir mis experiencias con otras personas que quieran hacerlo como yo"", si no más bien el ""aquí pongo lo que he ido haciendo y que me ha servido de ayuda, si alguien quiere saber algo que se haga valer y vaya preguntando"". Así que si quieres hacerme una pregunta o petición, escribe un ""aporte"" o algo, lo que sea, y me la haces llegar, que yo no sé decirte.",Informal,3613,Informal,14,3511,2022-11-24T22:58:17.221164Z,2022-11-24T22:58:17.221180Z,3.467
44,XGLM,"Sabes que lo pasamos bien, Escúchame, ya sé que sigues junto a él, Quedaron marcas",2.9,es," a la hora de recordar, Como la de un pequeño amor, Un pequeño amor, un pequeño amor.., un poco de amor que nunca se olvida, Un poco de amor y esperanza, Un poco de amor y de fe, Un poco de amor que nunca se acaba..",Informal,3689,Formal,14,3510,2022-11-24T22:58:13.139182Z,2022-11-24T22:58:13.139197Z,6.51
45,XGLM,"Como la agüita del aljibe, Me fluye to' con la rutina, como la luz azul,",7.5,es," de la tarde, Me lo lleva la corriente, de una aldea a otra. El pueblo que yo nací es un mundo, me lo llevo en el alma.",Informal,3710,Formal,14,3509,2022-11-24T22:58:05.581772Z,2022-11-24T22:58:05.581787Z,36.971
46,XGLM,No te creas nada de lo que dicen. Bajo manga mueven su motivación. Si ves,2.9,es," vídeos de ellos, que no son muchos, en ellos siempre hay algo más que un juego, algún pensamiento. Esos vídeos se convierten en algo así como una declaración de intenciones que, a veces, son más personales que juegos. A lo mejor no se mueven por la fama, pero sí por la perfección técnica, por la calidad de los juegos.",Informal,3643,Formal,14,3508,2022-11-24T22:57:27.867939Z,2022-11-24T22:57:27.867954Z,38.302
47,XGLM,"Esta es la mierda con la que crecí, abrazo mi sueño como hace él a",7.5,es," su sueño... se va haciendo más fuerte cada día y más profundo y me hace sentir viva... y lo que es más importante, sé que él no lo hace sólo...",Informal,3783,Formal,14,3507,2022-11-24T22:56:48.481556Z,2022-11-24T22:56:48.481569Z,5.687
48,XGLM,"Aunque no sepas mucho de mí, Disculpa, estoy ahorrando pa' ti, Pa' comprarte la Luna,",7.5,es," Pa' irte de viaje tú y yo, Que te lo mereces, Y tú, y tú, y tú, y tú. Y entonces te lo puedo decir, Porque a ti, te quiero mucho. Y, y, y, y, y, Y, y, y, y.",Informal,3714,Informal,14,3506,2022-11-24T22:56:42.189203Z,2022-11-24T22:56:42.189217Z,1.415
49,BLOOM,"Vivir sin mirar el reloj, L'a costa'o encontrar el valor, Trátame suave, quiéreme leve, házmelo",3.0,es," saber y yo te lo diré.
Y si se me va el pensamiento, Quiéreme mucho, házmelo saber y yo te lo diré.
Y si se me va el pensamiento, Quiéreme mucho, házmelo saber y yo te lo diré.
Porque yo ya no puedo vivir sin ti.
Y si se me va el pensamiento, Quiéreme mucho, házmelo saber y yo te lo diré.
Y si se me va el pensamiento, Quiéreme mucho, házmelo saber y yo te lo diré.
Porque yo ya no puedo vivir sin ti.
Y si se me va el pensamiento, Quiéreme mucho, házmelo saber y yo te lo diré.
Y si se me va",Informal,3808,Informal,14,3505,2022-11-24T22:56:40.167497Z,2022-11-24T22:56:40.167518Z,2.456
50,XGLM,Y tú en que crees? destino o casualidad si ese camino te lo marcan o,7.5,es,tú lo elegiste? Esas mismas preguntas debo hacer a mi vida. Mi madre aun vive y es lo que me hace seguir adelante a pesar de las dificultades y obstáculos. Mi madre me enseñó a valorar cada cosa que tenía y de que no valía la pena hacerte daño por nada ni nadie.,Informal,3725,Informal,14,3504,2022-11-24T22:56:36.994077Z,2022-11-24T22:56:36.994099Z,3.729
51,XGLM,"Curro se levanta un lunes por la mañana, algo más se levanta dentro del pijama,",7.5,es," como si estuviera durmiendo, un lunes, pero al día siguiente Curro está despierto. Tienen una jornada laboral interminable, un día gris, lleno de mantas. Él está cansado, pero no se levanta. Una tarde, al fin, se levanta. Ahora ya está en la cama, con la ventana abierta, pero no ve nada.",Informal,3779,Formal,14,3503,2022-11-24T22:56:18.364086Z,2022-11-24T22:56:30.398116Z,12.036
52,XGLM,"¡Violencia! Nadie en su juicio te quiere, pero, ¡Violencia! Puedo toparme contigo porque, ¡Violencia! Tú",2.9,es," me has robado mi vida y, ¡Violencia! Tú me has robado mi alma y, ¡Violencia! En la mañana del 18 de julio de 2002, el cuerpo de Anahí fue hallado tendido en el suelo de una casa de la colonia de La Roma Norte, en la ciudad de México.",Informal,3604,Informal,14,3502,2022-11-24T22:56:15.128173Z,2022-11-24T22:56:15.128188Z,1.553
53,XGLM,"Antes me jodías para tener lo que ahora ya ni me preocupa, Ey, tengo a",7.5,es," tu madre toda mojada, y la verdad, no me queda otra que contarte todo. - dijo con la voz un tanto alterada, como si estuviera pasando por un trance. - Ey, mira, si quieres, podemos ir a casa y ya te contaré. -",Informal,3791,Informal,14,3501,2022-11-24T22:56:12.850597Z,2022-11-24T22:56:12.850618Z,3.025
54,XGLM,"Nunca tuve presente, lo que dijo la gente, ya no quiero verte, asta siempre, eres",7.5,es," un inmaduro, te quiero mucho, y te extraño y lo sabes. Te extrañaba, eras mi mejor amigo, pero tu no lo sabias, el miedo a perderte, era mayor que mi amor, por ti. Te fuiste, y te perdi.",Informal,3770,Informal,14,3500,2022-11-24T22:56:09.201974Z,2022-11-24T22:56:09.201995Z,1.574
55,XGLM,"Paso junto a un charco de mierda y le tiro piedras, si te salpica es",2.9,es,que fue un buzo” – Una mujer se queja de la basura en el aeropuerto de Nueva York y envía un mensaje para que se limpie,Informal,3675,Formal,14,3499,2022-11-24T22:56:06.866514Z,2022-11-24T22:56:06.866530Z,3.243
56,XGLM,"Ellos quieren que haga música pendeja, De esa que ningún mensaje bueno deja, Esa que",7.5,es," no puede ser entendida por la raza, Esa que solo puede ser entendida por los perros. Pero ellos también quieren que haga música pendejía, Que digan a los demás que soy pendeja. Quieren que haga una música que solo ellos entiendan.",Informal,3721,Informal,14,3498,2022-11-24T22:56:02.480337Z,2022-11-24T22:56:02.480357Z,27.821
57,XGLM,"Que no es por vacilar y no es por dármelas de chulo, las letras de",7.5,es," este disco son de lo mejorcito del año, y eso, no se consigue todos los días. Pero lo mejor es que en las letras también está la esencia de cada uno de sus componentes, que son en realidad los que hacen este grupo, y que aquí lo demuestran, y mucho.",Informal,3769,Formal,14,3497,2022-11-24T22:55:33.980814Z,2022-11-24T22:55:33.980828Z,15.405
58,XGLM,"Siempre has estado cerca cuando te he necesitado, Si me he caído al suelo, tú",7.5,es," me has levantado, si me han robado, tú me has ayudado. Gracias por estar conmigo, por estar siempre, y por ser mi luz, mi esperanza, mi todo. Tú eres mi refugio.",Informal,3718,Informal,14,3496,2022-11-24T22:55:17.811106Z,2022-11-24T22:55:17.811120Z,1.88
59,XGLM,"Si esto no es real, entonces yo soy un fantasma, paso de tu pasta, puto",2.9,es,". Te has metido en un lío en el que no sabes muy bien a dónde váis. De todas formas, estoy a la espera de que se dé la pelea de “los de abajo”, si se da, pues a ver que trae la contienda entre los viejos y los nuevos.",Informal,3657,Informal,14,3495,2022-11-24T22:55:15.306199Z,2022-11-24T22:55:15.306216Z,4.633
