,Unnamed: 0,model,prompt,size(B),language,prediction,prompt_formality,id,formality,annotator,annotation_id,created_at,updated_at,lead_time
10,10,BLOOM,"""হিতোপদেশ ১৯:৬ পদে উল্লেখ করা হয়েছে: """"সকলই নম্রতার বন্ধু।""""""",7.1,bn,"
যখন কেউ নম্রতার সাথে কথা বলে, সে নম্রতা ও বন্ধুত্বকে আরো শক্তিশালী করে।

""সুবিবাদে সজ্জনের কাছে যা আছে"" এবং ""যে সকল নরম হয়, তাদের সজ্জনতা বৃদ্ধি পায়।""
যে কোন ব্যক্তিকে পরিত্রাণ দেওয়ার ক্ষেত্রে, নম্রতা একটি বিশাল ভূমিকা পালন করে।

আরও দেখুন 
 নম্রতা
 ভদ্রতা
 ভদ্রতা পরিহিতা
 দয়ালু মনোভাব
 নম্রতা এবং সাহস
 সজ্জনতা

বহিঃসংযোগ

বিষয়শ্রেণী:সাহসিকতা ও কোমলতা
বিষয়শ্রেণী:সাহসিকতা
বিষয়শ্রেণী:ভদ্রতা
বিষয়শ্রেণী:সাহসিকতা পরিহার
বিষয়শ্রেণী:সাহসিকতা
বিষয়শ্রেণী:ভদ্রতা
বিষয়শ্রেণী:সামাজিকভাবে ন্যায়পর",Formal,6118,Incohesive,13,2627,2022-11-15T17:20:06.455996Z,2022-11-15T17:20:06.456022Z,7.816
11,11,XGLM,অনাকাঙ্ক্ষিত এ ভুলের জন্য আন্তরিকভাবে দু:খ প্রকাশ করছি,2.9,bn,"।’ তিনি বলেন, ‘প্রচুর সময় আগে এই ধরনের রেকর্ডগুলোর তথ্য আমরা সংগ্রহ করি। বিষয়টি নিয়ে আরও বিস্তারিত তদন্ত করতে হবে। এ বিষয়ে সব ধরনের ব্যবস্থা গ্রহণ করা হবে।’",Formal,6226,Formal,13,2626,2022-11-15T17:19:51.397850Z,2022-11-15T17:19:51.397867Z,2.673
12,12,XGLM,অনাকাঙ্ক্ষিত এ ভুলের জন্য আন্তরিকভাবে দু:খ প্রকাশ করছি,7.5,bn,"। আপনাদের সাহায্যের অপেক্ষায় রইলাম। ধন্যবাদ। --আফতাব (আলাপ) ১৭:১৬, ২৬ অক্টোবর ২০১৪ (ইউটিসি)",Formal,6326,Formal,13,2625,2022-11-15T17:19:42.654628Z,2022-11-15T17:19:42.654646Z,3.362
13,13,XGLM,"@YourKoel দিদিকে কত সুন্দর লাগছে... RT @Tollyqueenkoel ""A Very Happy Birth Day to Boman Irani Sir :) """,2.9,bn," @ShashankDutt @shashankdutt ""Loved your performance at B.I's memorial concert"""" Thanks... 5 days ago",Informal,6625,Incohesive,13,2624,2022-11-15T17:19:13.298883Z,2022-11-15T17:19:13.298902Z,2.641
14,14,BLOOM,আজ ৮ই ডিসেম্বর কুমিল্লা মুক্ত দিবস । ১৯৭১ সালের এই দিনে পাক হায়েনা মুক্ত হয় আমাদের কুমিল্লা :),3.0,bn,আজকের কুমিল্লা আমার জন্মভূমি । জন্ম থেকেই কুমিল্লা শহরটি আমার হৃদয়ের একটি জায়গা । বাবা মায়ের আমন্ত্রণে আজ কুমিল্লার সাথে আমার পরিচয় । কুমিল্লায় আমার বাবার বাসার সামনে আমার স্কুলে পড়ি । ক্লাস ফাইভে ক্লাশ কেটেই আমি কুমিল্লা চলে আসি । কিন্ত তারপর আর কুমিল্লাতে আসা হয়নি।,Informal,6443,Informal,13,2623,2022-11-15T17:18:59.544932Z,2022-11-15T17:18:59.544949Z,4.2
15,15,XGLM,"কিন্তু, এটি সর্বদাই একই রকম।",7.5,bn," এবং এর মাধ্যমে আপনি যারা আপনার ব্যবসার জন্য প্রয়োজনীয় তথ্য পেতে হবে। আপনি যে তথ্যের প্রয়োজন হয়, এবং যে আপনি প্রয়োজন। কিন্তু তারপরও এই ব্যবসার তথ্য অ্যাক্সেস আছে যেখানে খুব কম, যদি না থাকে।",Formal,6386,Formal,13,2622,2022-11-15T17:18:44.079972Z,2022-11-15T17:18:44.079990Z,4.475
16,16,BLOOM,ছোট বন্দুকধারী লোকটি ছোট ছেলেটিকে তার দাদীর কোল থেকে ছিনিয়ে নিল। তারপর সে তার মাথার কাছে বন্দুকের নল তাক করে রইল,3.0,bn,"।
কিন্তু, ছেলেটি তখনো স্থির, কিন্তু তার মনে হচ্ছিল যে, এখন তাকে যেন তার দাদীর কাছ থেকে পালিয়ে যেতে হয়। এ সময় ছেলেটি তার দাদীকেও দেখতে পেল। দাদী তাকে বলল, এই হচ্ছে বাবা।
জিগিরটা ছেলেটি বুঝে নিল। সে বলল, বাবা, আমি কি আপনার কাছে যেতে পারব না? বাবাকে না পেয়ে আমি আপনার কাছ থেকে পালিয়ে যেতে চাই।
তারপর ছেলেটি দাদী তাকে দড়ি দিয়ে বেঁধে নিল। দাদী বলল, এই হচ্ছে মা। মা, আমার নাম আলাউদ্দীন। আর আমি আপনার কাছে পালাতে চাই।
তারপর সে মা আর বাবাকে বলতে লাগল, আমি আমার বাবা ও মাকে হারিয়েছি। আর ওরা খুব ছোট বেলা থেকে আমার কাছে আর থাকতে চাই না।
সকালের",Formal,6059,Informal,13,2621,2022-11-15T17:18:30.608396Z,2022-11-15T17:18:30.608416Z,3.151
17,17,BLOOM,love Jamdani and Tangail Taater Saree শান্তিনিকেতনে ঢাকাই জামদানী আর মসলিন প্রকাশ তারিখ: ০৬/১২/২০১৩ ১২:০৬:৫৭...,7.1,bn," More
বাংলা সংলাপ রিপোর্টঃ ইংল্যান্ডের পক্ষে আইসিসি ক্রিকেট বিশ্বকাপ ও টেস্ট দলে যোগদানের জন্য নির্বাচিত হবার পর, প্রথম শ্রেণীর ক্রিকেটে অভিষেকের সময় তার বয়স ছিল ১৭ বছর ৩৩৩ দিন। ইংল্যান্ডের প্রাক্তন ক্রিকেটার এবং বর্তমানে টিভি সঞ্চালক এবং মিডিয়া বিশ্লেষক মার্ক ব্রাফন বলেন, “আমার কাছে সবচেয়ে আশ্চর্যজনক জিনিস ছিল, কেন তিনি দীর্ঘসময় অপেক্ষা করেননি। “আমার মনে হয়, যে সমস্ত ক্রিকেট খেলেছেন তার মধ্যে তিনি সেরা। আপনি যদি একটি প্রতিভা হন তবে আপনি জানেন যে আপনি কিছু ভাল ম্যাচ খেলেছেন এবং আপনার পক্ষে অনেক কিছু করা সম্ভব। “ক্রিকেটে, বিশেষ করে ইংলিশ জাতীয় দলে দীর্ঘ সময় ধরে প্রত্যাশিত প্রত্যাবর্তনের কারণ হতে পারে, যে দলটি সর্বশেষ বিশ্বকাপের ফাইনালে খেলেনি। যদি আপনি কোন দলকে ভাল",Informal,6564,Formal,13,2620,2022-11-15T17:18:21.245170Z,2022-11-15T17:18:21.245187Z,2.952
18,18,BLOOM,"""সাহিত্যিকভাবে, যিহোবা আমাদের পরামর্শ দেন: """"হে প্রিয়জনগণ, কেন তোমরা আমার আজ্ঞাসমূহ লক্ষ্যপূর্ব্বক পালন কর না?""",3.0,bn," "" - ইস. ৫:১৭. এর অর্থ কী? কেন আমরা আমাদের বাবা-মাকে ভালবাসতে পারি না? একজন বোন বলেছিলেন, ""আমার বাবাকে ভালবেসে আমি ভাল ছিলাম। আমার দাদাকে ভালবাসতে, তাকে ভালবাসতে ও তার সেবা করতে আমি ভাল ছিলাম।"" - বাপ্তিস্মের পর তিন সপ্তাহ ধরে, আমি আমার বাবাকে একটি চিঠি লিখেছিলাম, যদিও তার উত্তর ছিল না।",Formal,6006,Informal,13,2619,2022-11-15T17:18:03.759459Z,2022-11-15T17:18:03.759484Z,2.675
19,19,XGLM,রাশিয়ার ওপর নতুন করে যেকোনো নিষেধাজ্ঞা আরোপের ব্যাপারে যুক্তরাষ্ট্রকে সতর্ক করে দিয়েছে ... বিস্তারিত,2.9,bn,"রাশিয়ার ওপর নতুন করে যেকোনো নিষেধাজ্ঞা আরোপের ব্যাপারে যুক্তরাষ্ট্রকে সতর্ক করে দিয়েছে... বিস্তারিত পড়ুন →” → Read the rest of this entry » Posted on September 8, 2016Categories আন্তর্জাতিকLeave a comment on রুশ প্রেসিডেন্টের কড়া হুঁশিয়ারি যুক্তরাষ্ট্র ও রাশিয়ার বৈঠক বাতিল করলো ইরান যুক্তরাষ্ট্র ও রাশিয়ার মধ্যেকার উত্তেজনা কমাতে পারবে এমন একটি চুক্তির প্রস্তাব করেছে তুরস্ক। শুক্রবার ইস্তাম্বুলের... বিস্তারিত পড়ুন →” → Read the rest of this entry »",Formal,6235,Incohesive,13,2618,2022-11-15T17:17:51.649994Z,2022-11-15T17:17:51.650022Z,5.041
20,20,BLOOM,সোহাগ গাজি ময় হোমপেজ এখানে সেখানে আইডি-পেজ-গ্রুপ সবখানে গাজি আর গাজি সবাই সমানতালে গাজি গাজি গাজি সোল্লাসে মেতে উঠেছে :) এমনকি আমিও :P,7.1,bn,:P 😀 :P 😀 :P 😀 😀 😀 😀 :/ :/ :/ :/ :/ :/ :/ :/ :/ :/ :/ :/ :/ :/ :/ :/ :/ :/ :/ :/ :/ :/ :/ :/ :/ :/ :/ :/ :/ :/ :/ :/ :/ :/ :/ :/ :/ :/ :/ :/ :/ :/ :/ :/ :/ :/ :/ :/ :/ :/ :/ :/ :/ :/ :/ :/ :/ :/ :/ :/ :/ :/ :/ :/ :/ :/,Informal,6503,Incohesive,13,2617,2022-11-15T17:17:35.698377Z,2022-11-15T17:17:35.698395Z,3.287
21,21,BLOOM,গাজী টেলিভিশনে গাজীর হুঙ্কার :D,3.0,bn," : গাজীর হুঁশিয়ারি। আজ রাতে আমাদের নেত্রীকে গ্রেফতার করে কারাগারে পাঠাবেন। তাই আমরা রাস্তায় বের হবোনা।
রাউজানে জাতীয় পার্টি’র ঈদ পুনর্মিলনী অনুষ্ঠিত।। - Narsingdi24x7 - কক্সবাজারনিউজ সিবিএনCQNEWS.COM",Informal,6466,Informal,13,2616,2022-11-15T17:17:25.966221Z,2022-11-15T17:17:25.966240Z,5.218
22,22,BLOOM,"দক্ষিণপূর্ব এশিয়ার খমের সাম্রাজ্য আংকোরিয়ান যুগে, বৌদ্ধ মন্দিরের সন্ন্যাসীরা তুঁত গাছের ছাল থেকে কাগজ তৈরি করতো",3.0,bn,"। তুঁত গাছের ছাল দিয়ে তৈরি কাগজকে বলা হতো কুশ। এরপর এর নামকুয়াস, কুয়াস কায়াস, কুয়াশ, কুয়াশা থেকে কুয়াশা থেকে কুয়াশা এবং কুয়াশা থেকে আয়নাবাজি, ছাদ, ছাউনি, মেঝে সবই হয়েছে।",Formal,6076,Formal,13,2615,2022-11-15T17:17:11.705152Z,2022-11-15T17:17:11.705169Z,3.375
23,23,BLOOM,টেস্ট ম্যাচ ড্র :D আমরা ভাল খেলসি (y) New Zealand 469 & 287/7d Bangladesh 501 & 173/3 (48.2 ov) MAN OF THE...,3.0,bn," বিস্তারিত »
প্রথম দিনেই বাংলাদেশকে ৮ উইকেট হারিয়ে ২৯৫ রানে আটকে দিয়েছে ওয়েস্ট ইন্ডিজ। প্রথম ম্যাচে টস জিতে বোলিংয়ের সিদ্ধান্ত নিয়েছেন হ্যামিল্টন মাসাকাদজা। ওয়েস্ট ইন্ডিজের অধিনায়ক জন লুইস বলেন, আমরা বোলিংয়ে অনেকটাই ভালো খেলেছি। ভালো শুরু করেছি আমরা। টস জিতলে আমরা ব্যাটিংয়ে নামব। টস জিতে বোলিংয়ে নেমে বাংলাদেশ দল কিছুটা এগিয়ে যায়। তবে ওয়েস্ট ইন্ডিজকে সামনে রেখেই খেলে যায় বাংলাদেশ। প্রথম ইনিংসে বাংলাদেশের লক্ষ্য ২৮৭ রান। মেহেদী হাসান মিরাজ ও হাসান মাহমুদ বোলিংয়ে দারুণ খেলেন। তবে মেহেদী হাসান মিরাজ ৩১ বলে ৮টি ও হাসান মাহমুদ ৩১ বলে ১৪টি করে উইকেট তুলে নেন। এদিকে ওয়েস্ট ইন্ডিজের পক্ষে চার উইকেট নেন",Informal,6446,Formal,13,2613,2022-11-15T17:16:36.755493Z,2022-11-15T17:16:55.117001Z,5.751
24,24,XGLM,তবে তাৎক্ষণিকভাবে র‌্যাব তাঁর বিস্তারিত পরিচয় জানাতে পারেনি,2.9,bn,"তবে তাৎক্ষণিকভাবে র ্যাব তাঁর বিস্তারিত পরিচয় জানাতে পারেনি। র ্যাব-৪ এর অধিনায়ক মুফতি মাহমুদ খান বলেন, ‘সাবেক ভারপ্রাপ্ত চেয়ারম্যান এইচএম এরশাদকে আমরা কিছুক্ষণ আগে রাজধানীর বনানীর কার্যালয়ে ডেকে নিয়ে এলাম। তার সঙ্গে তার স্ত্রীও আছেন। রংপুরে গেলে তিনি চিকিৎসা নিয়ে আসবেন।’",Formal,6293,Formal,13,2614,2022-11-15T17:16:48.718082Z,2022-11-15T17:16:48.718100Z,3.544
25,25,BLOOM,"আমি বলেছিলাম, আপনারা একজন।",7.1,bn," আর আমি আপনাদেরকে দেখিয়েছি যে, আমাকে কীভাবে সম্মান দেয়া হয়েছে। এই কারণেই আজকে আমার মনে হয় যে, আমি আপনাদের জন্য এই সম্মানটা রেখেছি।",Formal,6166,Formal,13,2612,2022-11-15T17:16:22.682558Z,2022-11-15T17:16:22.682579Z,4.318
26,26,BLOOM,তার,3.0,bn," কাজ করে। এই কাজে একজন লোক সাহায্য করবে না—এমন কোনো কারণের অভাবে, যদি সে তাদের সাহায্যের জন্য ইচ্ছুক হয়।
যদি একজন লোক তাদের সাহায্য করার বিষয়ে দৃঢ়সংকল্পবদ্ধ, তবে সে তাদের সাহায্য করবে না- এমন কোনো কারণের অভাবে যদি সে তাদের সাহায্য করার ইচ্ছুক হয়। যদি একজন লোক তাদের সাহায্য করার বিষয়ে দৃঢ়সংকল্পবদ্ধ না হয়, তবে সে তাদের সাহায্য করবে না- এমন কোনো কারণের অভাবে যদি সে তাদের সাহায্য করার জন্য ইচ্ছুক হয়। যদি কেউ একজন লোককে সাহায্য করার জন্য ইচ্ছুক হয় তবে  জন্য উত্তম হলো সে সে লোককে সাহায্য করুক। এতে সে  কাজ পূর্ণতা পাবে এবং এভাবেই সে সৎ কাজ সম্পাদন করে। তাকে কেউ সাহায্য করার ইচ্ছা করবে না।
নাউজুব",Neutral,6814,Formal,13,2479,2022-11-11T14:46:15.165425Z,2022-11-11T14:46:15.165440Z,2.943
27,27,XGLM,"অন্যেরা মনে করে, যেহেতু স্কুলে বিবর্তনবাদের বিষয়ে শিক্ষা দেওয়া হয়, তাই এটা নিশ্চয়ই সত্য",7.5,bn,"অন্যেরা মনে করে, যেহেতু স্কুলে বিবর্তনবাদের বিষয়ে শিক্ষা দেওয়া হয়, তাই এটা নিশ্চয়ই সত্য। না, এটা সম্পূর্ণই মিথ্যা কথা। স্কুলে পড়ার সময়ও আমি বলিনি। যখন আমি পড়াশুনা করি তখন সবকিছুই বুঝতাম। এখন আমার মনে হয় না যে কেউ এতটা জ্ঞানী ছিল যে যতটা শিক্ষা দেয়, সেটা শোনে।",Formal,6389,Formal,13,2478,2022-11-11T14:45:50.612064Z,2022-11-11T14:46:00.247307Z,13.763000000000002
28,28,XGLM,তদন্তে যারা দোষী হবে তাদের বিরুদ্ধে ব্যবস্থা নেয়া হবে,7.5,bn,তদন্তে যারা দোষী হবে তাদের বিরুদ্ধে ব্যবস্থা নেয়া হবে। মন্ত্রীর এ বক্তব্যের সঙ্গেই মতিঝিল অফিসের এক কর্মকর্তার কথাটি একেবারে মিলে গেছে।,Formal,6358,Formal,13,2477,2022-11-11T14:45:35.752133Z,2022-11-11T14:45:35.752148Z,4.894
29,29,BLOOM,"বাড়িতে থাকুন, বাড়িতে থাকুন।",7.1,bn,"’
তিনি বলেন, ‌‘আমরা চাই, সবাই এই বিষয়ে সচেতন। আমরা চাই, আমরা যারা সরকারি চাকরি করি, তারা যেন নিজ নিজ বাড়িতে থাকি। আমরা যদি সরকারি অফিসের বাইরে না থাকি, তাহলে করোনাভাইরাস আরও বেশি ছড়ানোর সম্ভাবনা থাকে। তাই আপনারা আমাদের অনুরোধের প্রতি সম্মান দেখাতে পারেন।’
স্বাস্থ্য অধিদপ্তরের মহাপরিচালক অধ্যাপক ডা. আবুল বাশার মোহাম্মদ খুরশীদ আলম বলেন, ‌‘টিকা আমাদের রক্ষাকারী। সবাই এই টিকা গ্রহণ করুন। আমরা সবাই যেন আমাদের স্বাস্থ্য সুরক্ষার জন্য টিকা গ্রহণ করি।’
সোমবার সচিবালয়ে স্বাস্থ্য মন্ত্রণালয়ে করোনা ভ্যাকসিন সংক্রান্ত কার্যক্রম তদারকিতে অনুষ্ঠিত সভায় তিনি এসব কথা বলেন।
স্বাস্থ্য অধিদপ্তরের অতিরিক্ত মহাপরিচালক অধ্যাপক ডা. নাসিমা",Formal,6192,Formal,13,2476,2022-11-11T14:45:20.337517Z,2022-11-11T14:45:20.337532Z,5.347
30,30,BLOOM,এই ধারণাটির প্রবর্তক কার্লোস কোড়েয়া তার ব্যক্তিগত ব্লগে বলেছেন,3.0,bn,", ‘এই ধরনের একচুয়াল ব্রয়লার মুরগি দিয়ে মানুষ খামার গড়ে তুলবে এটা অবশ্যই আমাদের জন্য এক ধরণের আতঙ্ক।’",Formal,6074,Informal,13,2475,2022-11-11T14:45:01.740448Z,2022-11-11T14:45:01.740466Z,2.65
31,31,BLOOM,"এরপর তিনি বলেন, ‘আমি ঠিকই বুঝতে পারছি।",3.0,bn," কারণ এই প্রশ্নটি আমার কাছেও আসে। আমি সবসময়ই বলি যে আমি এখন অনেক বড়লোক।’
গোবিন্দ সিং এবং বলিউড তারকাদের মধ্যে এই প্রথম এমন আলোচনা চলছে। এই ঘটনায় তার স্ত্রী ঐশ্বরিয়া রাই বচ্চন প্রতিক্রিয়া দিয়েছেন। তিনি বলেছেন, ‘এই নিয়ে কথা বলার কোনো প্রয়োজন নেই। শুধু জানি ঐশ্বরিয়া তার ব্যক্তিগত জীবনের কিছু কথা বলেন না।’
গোবিন্দ সিং এবং ঐশ্বরিয়া রাই বচ্চনের মধ্যে বেশ কয়েকটি ছবি ও নাটকে অভিনয় করেছেন। তাদের মধ্যে সবচেয়ে বেশি অভিনয় করেছেন গোবিন্দ সিং ‘দিলওয়াজ’, ‘দিলওয়াজ হ্যায়’ এবং ‘হামলায় মেরে গায়েব’ ছবিতে। এছাড়াও তিনি আমির খান অভিনীত ‘সন্ত্রাসবাদ’ এবং ‘দঙ্গল’",Formal,6003,Informal,13,2474,2022-11-11T14:44:47.885568Z,2022-11-11T14:44:47.885588Z,9.502
32,32,XGLM,"তিনি বলেন, ‘এটিই হল চলচ্চিত্রের শক্তি।",7.5,bn," আমরা চলচ্চিত্রে সত্যের জয়ের কথা বলতে চেয়েছি। ‘সত্যের জয়’। যে জয় মানুষকে সৎ হতে, সত্য জানতে ও নীতির বাহিরে থেকে দেশ থেকে কিছু নিতে উৎসাহিত করবে।’",Formal,6390,Formal,13,2473,2022-11-11T14:33:56.207286Z,2022-11-11T14:33:56.207306Z,3.348
33,33,XGLM,সেজন্য আন্তরিকভাবে আমরা দুঃখ প্রকাশ করছি,7.5,bn,। যেকোন অভিযোগের জন্য আমরা অবশ্যই কঠোর প্রক্রিয়ায় ব্যবস্থা নেব। তাছাড়া আপনাদের মতামত আমাদের খুবই গুরুত্ব দেয়া হবে।,Formal,6323,Formal,13,2472,2022-11-11T14:33:43.974872Z,2022-11-11T14:33:43.974887Z,6.702
